Service Month,Health Authority Code,Health Authority Name,Disease,Distinct Client Count,Dispense Count,Dispensed Days Supplied,Dispensed Tablets,Distinct Prescriber Count
2018-03,Total,Total,Other,3082,4223,202334,321410,1319
2018-03,Total,Total,RA/Lupus,4103,5625,266342,417866.5,1615
2018-03,Total,Total,Total,7185,9848,468676,739276.5,2397
2018-04,1,Interior,Other,592,811,37799,60266,307
2018-04,1,Interior,RA/Lupus,934,1236,60412,96930.5,390
2018-04,1,Interior,Total,1526,2047,98211,157196.5,563
2018-04,2,Fraser,Other,978,1442,59919,93321.5,447
2018-04,2,Fraser,RA/Lupus,1489,2160,92963,145439,548
2018-04,2,Fraser,Total,2467,3602,152882,238760.5,814
2018-04,3,Vancouver Coastal,Other,509,701,35221,51038.5,253
2018-04,3,Vancouver Coastal,RA/Lupus,719,1034,49532,71133.5,289
2018-04,3,Vancouver Coastal,Total,1228,1735,84753,122172,461
2018-04,4,Vancouver Island,Other,608,748,40816,66570,305
2018-04,4,Vancouver Island,RA/Lupus,593,745,38417,61368,324
2018-04,4,Vancouver Island,Total,1201,1493,79233,127938,517
2018-04,5,Northern,Other,213,238,12528,19936.5,136
2018-04,5,Northern,RA/Lupus,321,379,17686,29093,188
2018-04,5,Northern,Total,534,617,30214,49029.5,260
2018-04,9,Other/Unknown,Other,200,200,19150,32779,20
2018-04,9,Other/Unknown,RA/Lupus,5,5,248,398,5
2018-04,9,Other/Unknown,Total,205,205,19398,33177,25
2018-04,Total,Total,Other,3100,4140,205433,323911.5,1365
2018-04,Total,Total,RA/Lupus,4060,5559,259258,404362,1626
2018-04,Total,Total,Total,7160,9699,464691,728273.5,2440
2018-05,1,Interior,Other,629,881,39792,64759.5,320
2018-05,1,Interior,RA/Lupus,977,1289,63768,100934.5,394
2018-05,1,Interior,Total,1606,2170,103560,165694,576
2018-05,2,Fraser,Other,1046,1559,66283,101561,456
2018-05,2,Fraser,RA/Lupus,1572,2296,101467,157196,563
2018-05,2,Fraser,Total,2618,3855,167750,258757,812
2018-05,3,Vancouver Coastal,Other,504,738,34659,49700,234
2018-05,3,Vancouver Coastal,RA/Lupus,782,1160,55285,79979,309
2018-05,3,Vancouver Coastal,Total,1286,1898,89944,129679,458
2018-05,4,Vancouver Island,Other,584,780,38074,60477,304
2018-05,4,Vancouver Island,RA/Lupus,608,778,40316,64174,305
2018-05,4,Vancouver Island,Total,1192,1558,78390,124651,501
2018-05,5,Northern,Other,212,246,12458,20532,139
2018-05,5,Northern,RA/Lupus,322,407,17656,28792.5,203
2018-05,5,Northern,Total,534,653,30114,49324.5,271
2018-05,9,Other/Unknown,Other,207,207,19641,34684,14
2018-05,9,Other/Unknown,RA/Lupus,7,9,504,699,8
2018-05,9,Other/Unknown,Total,214,216,20145,35383,22
2018-05,Total,Total,Other,3182,4411,210907,331713.5,1368
2018-05,Total,Total,RA/Lupus,4267,5939,278996,431775,1641
2018-05,Total,Total,Total,7449,10350,489903,763488.5,2422
2018-06,1,Interior,Other,638,888,39323,63453,310
2018-06,1,Interior,RA/Lupus,899,1182,59011,94464.5,340
2018-06,1,Interior,Total,1537,2070,98334,157917.5,524
2018-06,2,Fraser,Other,1027,1505,64798,98635,455
2018-06,2,Fraser,RA/Lupus,1555,2247,97130,149799,554
2018-06,2,Fraser,Total,2582,3752,161928,248434,829
2018-06,3,Vancouver Coastal,Other,525,747,35736,51116.5,249
2018-06,3,Vancouver Coastal,RA/Lupus,701,1126,48672,69978,269
2018-06,3,Vancouver Coastal,Total,1226,1873,84408,121094.5,448
2018-06,4,Vancouver Island,Other,584,774,38949,63528,292
2018-06,4,Vancouver Island,RA/Lupus,667,837,44378,72059,335
2018-06,4,Vancouver Island,Total,1251,1611,83327,135587,509
2018-06,5,Northern,Other,198,225,10805,17379,117
2018-06,5,Northern,RA/Lupus,338,391,18749,31416,191
2018-06,5,Northern,Total,536,616,29554,48795,244
2018-06,9,Other/Unknown,Other,192,196,18485,32541,17
2018-06,9,Other/Unknown,RA/Lupus,4,4,270,405,4
2018-06,9,Other/Unknown,Total,196,200,18755,32946,21
2018-06,Total,Total,Other,3163,4335,208096,326652.5,1344
2018-06,Total,Total,RA/Lupus,4164,5787,268210,418121.5,1572
2018-06,Total,Total,Total,7327,10122,476306,744774,2365
2018-07,1,Interior,Other,641,922,40123,65840.5,336
2018-07,1,Interior,RA/Lupus,930,1218,60828,96396.5,354
2018-07,1,Interior,Total,1571,2140,100951,162237,558
2018-07,2,Fraser,Other,1044,1593,66830,103550.5,460
2018-07,2,Fraser,RA/Lupus,1602,2301,101004,156757.6,588
2018-07,2,Fraser,Total,2646,3894,167834,260308.1,844
2018-07,3,Vancouver Coastal,Other,520,775,35731,51129,234
2018-07,3,Vancouver Coastal,RA/Lupus,753,1180,53685,76079,303
2018-07,3,Vancouver Coastal,Total,1273,1955,89416,127208,452
2018-07,4,Vancouver Island,Other,605,809,39577,64498.5,304
2018-07,4,Vancouver Island,RA/Lupus,593,760,39025,62385.5,320
2018-07,4,Vancouver Island,Total,1198,1569,78602,126884,522
2018-07,5,Northern,Other,221,252,13268,20726,140
2018-07,5,Northern,RA/Lupus,341,406,19154,31900,193
2018-07,5,Northern,Total,562,658,32422,52626,260
2018-07,9,Other/Unknown,Other,180,180,17217,30218,22
2018-07,9,Other/Unknown,RA/Lupus,4,4,240,300,4
2018-07,9,Other/Unknown,Total,184,184,17457,30518,25
2018-07,Total,Total,Other,3211,4531,212746,335962.5,1384
2018-07,Total,Total,RA/Lupus,4223,5869,273936,423818.6,1635
2018-07,Total,Total,Total,7434,10400,486682,759781.1,2437
2018-08,1,Interior,Other,640,926,40219,64938.5,325
2018-08,1,Interior,RA/Lupus,953,1265,62150,99266.5,388
2018-08,1,Interior,Total,1593,2191,102369,164205,576
2018-08,2,Fraser,Other,1041,1534,67353,103761.5,458
2018-08,2,Fraser,RA/Lupus,1551,2283,98968,151193,585
2018-08,2,Fraser,Total,2592,3817,166321,254954.5,836
2018-08,3,Vancouver Coastal,Other,544,790,37335,54901,246
2018-08,3,Vancouver Coastal,RA/Lupus,763,1168,54697,78326,305
2018-08,3,Vancouver Coastal,Total,1307,1958,92032,133227,472
2018-08,4,Vancouver Island,Other,604,813,39598,62797,298
2018-08,4,Vancouver Island,RA/Lupus,617,820,39775,62769,343
2018-08,4,Vancouver Island,Total,1221,1633,79373,125566,528
2018-08,5,Northern,Other,199,231,11322,18683,129
2018-08,5,Northern,RA/Lupus,322,386,16885,27744,199
2018-08,5,Northern,Total,521,617,28207,46427,257
2018-08,9,Other/Unknown,Other,186,189,17738,30835,18
2018-08,9,Other/Unknown,RA/Lupus,8,9,423,756,8
2018-08,9,Other/Unknown,Total,194,198,18161,31591,23
2018-08,Total,Total,Other,3214,4483,213565,335916,1368
2018-08,Total,Total,RA/Lupus,4213,5931,272898,420054.5,1687
2018-08,Total,Total,Total,7427,10414,486463,755970.5,2458
2018-09,1,Interior,Other,615,853,38439,61323.5,297
2018-09,1,Interior,RA/Lupus,915,1164,61297,97481.5,381
2018-09,1,Interior,Total,1530,2017,99736,158805,556
2018-09,2,Fraser,Other,1011,1480,62367,96380,463
2018-09,2,Fraser,RA/Lupus,1545,2275,98638,153482.7,564
2018-09,2,Fraser,Total,2556,3755,161005,249862.7,835
2018-09,3,Vancouver Coastal,Other,522,759,35667,50745,238
2018-09,3,Vancouver Coastal,RA/Lupus,694,1027,47671,67772,274
2018-09,3,Vancouver Coastal,Total,1216,1786,83338,118517,430
2018-09,4,Vancouver Island,Other,581,782,38025,61943,301
2018-09,4,Vancouver Island,RA/Lupus,619,784,40877,65378,323
2018-09,4,Vancouver Island,Total,1200,1566,78902,127321,507
2018-09,5,Northern,Other,202,232,11546,19076.5,127
